title,company,location,date,job_url,job_description,applied,hidden,interview,rejected,date_loaded
"(Intermediate and Senior) Full Stack Software Developer, Layla Care",Layla,"Ontario, Canada",2024-12-03,https://www.linkedin.com/jobs/view/4090610733/,Could not find Job Description,0,0,0,0,2024-12-03 23:06:07.098572
AI & Data Scientist Training & Intern,Refonte Learning,Canada,2024-12-04,https://www.linkedin.com/jobs/view/4088787260/,Could not find Job Description,0,0,0,0,2024-12-03 23:06:07.098572
BFF-AFIRMS Data Scientist,University of Alberta,"Edmonton, Alberta, Canada",2024-12-03,https://www.linkedin.com/jobs/view/4090293108/,Could not find Job Description,0,0,0,0,2024-12-03 23:06:07.098572
"Backend Engineer, Referrals & Incentives",Cash App,"Vancouver, British Columbia, Canada",2024-12-03,https://www.linkedin.com/jobs/view/4055736231/,Could not find Job Description,0,0,0,0,2024-12-03 23:06:07.098572
Backend Software Developer,Miovision,"Kitchener, Ontario, Canada",2024-12-03,https://www.linkedin.com/jobs/view/4069887854/,Could not find Job Description,0,0,0,0,2024-12-03 23:06:07.098572
Digital Marketing Web Developer,Cority,Canada,2024-12-03,https://www.linkedin.com/jobs/view/4088298166/,Could not find Job Description,0,0,0,0,2024-12-03 23:06:07.098572
Head of Engineering - Risk,Mercury,Canada,2024-12-03,https://www.linkedin.com/jobs/view/4088587608/,Could not find Job Description,0,0,0,0,2024-12-03 23:06:07.098572
"Intermediate Backend Engineer, Organizations",GitLab,Canada,2024-12-03,https://www.linkedin.com/jobs/view/4090281826/,Could not find Job Description,0,0,0,0,2024-12-03 23:06:07.098572
Qlik Developer,Keyrus,"Toronto, Ontario, Canada",2024-12-03,https://www.linkedin.com/jobs/view/4088583166/,Could not find Job Description,0,0,0,0,2024-12-03 23:06:07.098572
Senior Angular JS Full Stack Developer (with Python),Luxoft,"Toronto, Ontario, Canada",2024-12-03,https://www.linkedin.com/jobs/view/4090253103/,Could not find Job Description,0,0,0,0,2024-12-03 23:06:07.098572
Senior Backend Programmer,Epic Games,Greater Montreal Metropolitan Area,2024-12-03,https://www.linkedin.com/jobs/view/4051283040/,Could not find Job Description,0,0,0,0,2024-12-03 23:06:07.098572
Senior Data Engineer,Luxoft,"Toronto, Ontario, Canada",2024-12-03,https://www.linkedin.com/jobs/view/4090613011/,Could not find Job Description,0,0,0,0,2024-12-03 23:06:07.098572
Senior Data Scientist,"Canterr, Inc.","Toronto, Ontario, Canada",2024-12-03,https://www.linkedin.com/jobs/view/4087477743/,Could not find Job Description,0,0,0,0,2024-12-03 23:06:07.098572
Senior Full Stack Web Developer,Epic Games,"Greater Vancouver, British Columbia, Canada",2024-12-03,https://www.linkedin.com/jobs/view/4027392616/,Could not find Job Description,0,0,0,0,2024-12-03 23:06:07.098572
Sr. Data Engineer Lead,Lorven Technologies Inc.,"Toronto, Ontario, Canada",2024-12-03,https://www.linkedin.com/jobs/view/4088748584/,Could not find Job Description,0,0,0,0,2024-12-03 23:06:07.098572
"Technical Director, Machine Learning Programmer",Epic Games,"Greater Vancouver, British Columbia, Canada",2024-12-03,https://www.linkedin.com/jobs/view/4035055406/,Could not find Job Description,0,0,0,0,2024-12-03 23:06:07.098572
